Brands,Model,Price,money_off,discount,Internal Storage,Solid State Storage,Display,Shop,Shop Type,Video Memory,JingDong,href,used,Display_type,Processor,Version,Touch control,Screen size,Sale,Favorable rate
联想,IdeaPad14s,3999,,,8G,512G,MX330,联想京东自营旗舰店,1, ,0,//item.jd.com/100013431602.html,0,1,i5,十代,0,14,300,94
荣耀,MagicBook15,3899,,,8G,512G, ,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100005928469.html,0,0,R7, ,0,15.6,3000,93
Apple,MacBookAir,7799,,,8G,256G, ,Apple产品京东自营旗舰店,1, ,0,//item.jd.com/100011979232.html,0,0,i3,十代,0,,2000,95
戴尔,灵越5000fit,5599,,,8G,512G,MX250,戴尔京东自营官方旗舰店,1,2G,1,//item.jd.com/100004366047.html,0,1,i5,十代,0,15.6,10000,91
惠普,星14,4599,,,8G,512G, ,惠普京东自营官方旗舰店,1,2G,0,//item.jd.com/100004707049.html,0,0,R5,十代,0,14,4200,90
戴尔,G5,8299,,,16G,512G, ,戴尔京东自营官方旗舰店,1,6G,0,//item.jd.com/100007136939.html,0,0,i7,十代,0,,700,94
Apple,MacBookPro,9299,,,8G,256G, ,Apple产品京东自营旗舰店,1, ,0,//item.jd.com/100006729770.html,0,0,i5,八代,1,,10000,93
戴尔,灵越7000,7799,,,8G,512G,GTX1650,戴尔京东自营官方旗舰店,1,4G,0,//item.jd.com/100007151997.html,0,1,i7,十代,0,15.6,300,91
联想,E490,6099,,,8G,512G, ,ThinkPad京东自营旗舰店,1,2G,1,//item.jd.com/100002391174.html,0,1,i7, ,0,14,3900,92
惠普,战66,3799,,,8G,512G, ,惠普京东自营官方旗舰店,1, ,1,//item.jd.com/100005351786.html,0,0,R5, ,0,15.6,10000,94
联想,X390,6199,2000,100,8G,512G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100004311526.html,0,0,i5, ,0,13.3,4800,93
